Date,LTP*,High,Low,Open,Close,YCP,Toal Trad,VALUE (mn),VOLUME,
2019-04-23,ACI,307.6,312,307,311,307.2,311.8,221,4.677,"15,126"
2019-04-21,ACI,312.5,314.6,310.2,313,311.8,312.8,165,5.202,"16,631"
2019-04-18,ACI,310.6,314.3,309.5,309.5,312.8,309.5,186,3.698,"11,858"
2019-04-17,ACI,309.8,313.5,308.1,313.5,309.5,309.9,195,5.29,"17,057"
2019-04-16,ACI,310,312.6,308.7,312.6,309.9,312.6,303,10.23,"33,005"
2019-04-15,ACI,312.6,318,312.5,315,312.6,314.6,216,3.95,"12,568"
2019-04-11,ACI,316.5,316.9,310,312,314.6,309.9,325,6.819,"21,742"
2019-04-10,ACI,310,324.9,309,320.4,309.9,324.8,611,19.194,"60,987"
2019-04-09,ACI,324.9,338,323.5,333.6,324.8,333,667,17.805,"54,298"
2019-04-08,ACI,334.8,335.4,321,323.5,333,319.4,"1,713",48.677,"147,342"
2019-04-07,ACI,321.5,321.8,311.5,312,319.4,312,"1,017",18.677,"58,985"
2019-04-04,ACI,312.3,312.9,308.5,310,312,310,295,6.386,"20,576"
2019-04-03,ACI,310,311.8,308,310,310,309.1,413,12.718,"41,080"
2019-04-02,ACI,310,313.5,307.9,307.9,309.1,307.2,390,8.698,"28,030"
2019-04-01,ACI,307.9,308,305,307,307.2,305.3,303,6.263,"20,419"
2019-03-31,ACI,305,306.1,303.3,305,305.3,304.6,229,5.363,"17,592"
2019-03-28,ACI,304.2,306.7,301.8,302,304.6,301.8,197,6.622,"21,756"
2019-03-27,ACI,302,304,300.3,300.3,301.8,300.3,238,4.755,"15,757"
2019-03-25,ACI,300.1,302.4,299.7,300,300.3,299.6,222,5.16,"17,160"
2019-03-24,ACI,300,301.7,299,301.7,299.6,301.5,225,4.988,"16,627"
2019-03-21,ACI,301.5,304.6,300.8,304.6,301.5,302.9,184,5.84,"19,356"
2019-03-20,ACI,302.3,304.7,301,301.3,302.9,300.5,155,5.87,"19,432"
2019-03-19,ACI,300.2,303,300,302.2,300.5,304.7,436,12.682,"42,123"
2019-03-18,ACI,305,305.1,301,304,304.7,305.5,451,6.693,"22,050"
2019-03-14,ACI,304.8,306.5,304,304.5,305.5,305.5,233,3.914,"12,831"
2019-03-13,ACI,307.2,307.2,303.5,303.6,305.5,305,452,10.862,"35,616"
2019-03-12,ACI,304.8,306.9,304,306.1,305,307.4,179,2.78,"9,115"
2019-03-11,ACI,308.5,309,302.8,309,307.4,308.6,283,7.778,"25,485"
2019-03-10,ACI,307.9,309.7,307.1,308,308.6,307.6,241,6.798,"22,060"
2019-03-07,ACI,308.1,308.9,305.1,306.5,307.6,305.3,183,3.952,"12,867"
2019-03-06,ACI,306,306.4,304,304.3,305.3,304.7,141,5.11,"16,758"
2019-03-05,ACI,305,305.9,303.1,303.1,304.7,305,220,6.321,"20,773"
2019-03-04,ACI,304.9,306,303,304.6,305,304.5,179,5.534,"18,190"
2019-03-03,ACI,305,306.2,303.1,305.2,304.5,305.3,228,7.297,"24,018"
2019-02-27,ACI,304.9,309.3,304.5,309,305.3,310.3,235,7.034,"22,980"
2019-02-26,ACI,309.3,312,305.1,305.3,310.3,304.2,764,17.15,"55,398"
2019-02-25,ACI,305,305,301,301,304.2,300.8,374,6.48,"21,322"
2019-02-24,ACI,301.8,305,300,302.6,300.8,302.4,412,6.451,"21,395"
2019-02-20,ACI,302,309,301.1,309,302.4,303.7,291,6.984,"23,065"
2019-02-19,ACI,305,305,300,302,303.7,301.9,222,3.767,"12,478"
2019-02-18,ACI,301.9,305.3,301.7,305.3,301.9,305.3,512,10.84,"35,813"
2019-02-17,ACI,305.9,310,304.5,305.7,305.3,305.7,277,5.087,"16,632"
2019-02-14,ACI,306,310,305.4,307.9,305.7,307.9,292,6.877,"22,412"
2019-02-13,ACI,309.3,315,307,310,307.9,308.9,288,7.878,"25,451"
2019-02-12,ACI,309,310,307.3,309,308.9,309.8,173,2.891,"9,375"
2019-02-11,ACI,310.5,318,308,315,309.8,314.6,303,5.206,"16,735"
2019-02-10,ACI,315.9,315.9,308.1,309,314.6,305,734,16.407,"52,644"
2019-02-07,ACI,308.4,309,301.2,302,305,301.3,402,9.987,"32,868"
2019-02-06,ACI,302.7,305.6,301,305,301.3,304.4,413,9.352,"30,897"
2019-02-05,ACI,303.9,310.9,303.9,310.9,304.4,310.9,553,8.63,"28,209"
2019-02-04,ACI,310,312,305,305,310.9,302.6,671,13.374,"43,356"
2019-02-03,ACI,303.3,303.3,299.2,300,302.6,299.3,630,19.445,"64,516"
2019-01-31,ACI,304,304,294.9,303.7,299.3,303.7,991,22.796,"76,522"
2019-01-30,ACI,305,315,300,312,303.7,315,"1,477",35.086,"115,098"
2019-01-29,ACI,315,334.1,309,334.1,315,338.5,"1,554",42.28,"133,886"
2019-01-28,ACI,340.1,340.1,336,336,338.5,335.8,224,5.081,"15,053"
2019-01-27,ACI,335.5,337,334,336.6,335.8,338,786,14.112,"42,067"
2019-01-24,ACI,337.7,340.6,334.1,340.6,338,340.6,433,10.271,"30,446"
2019-01-23,ACI,342.2,349,338.2,346.7,340.6,346.2,563,20.527,"59,951"
2019-01-22,ACI,347.1,351.1,344.3,351.1,346.2,349.1,305,9.536,"27,419"
2019-01-21,ACI,352,352,348.1,351,349.1,350,293,8.285,"23,711"
